Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence.1,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,wind_speed_10m,wind_gusts_10m
Running,2024-05-29 05:38:21,False,Barnet - W05D3a-Recovery Run,3.12,257,00:30:11,128,147,2.0,155,162,9:40,7:34,38,39,0.68,7.3,5.1,366,49.4% L / 50.6% R,9:34,--,231,0.0,226,334,"4,634",-6,18.0,No,00:00:02.8,6,26.0,28,14,37,00:30:07,00:30:11,53,78,11.95,92.67176,10.8,9.566771,100.0,18.057508,32.039997
Running,2024-05-28 05:35:53,False,Barnet - W05D2-Intervals,5.83,512,00:47:34,153,168,3.4,160,172,8:09,5:28,39,40,0.77,7.4,5.9,307,50.4% L / 49.6% R,8:09,--,283,0.0,264,430,"7,554",-10,17.0,No,00:00:00.9,14,25.0,34,19,47,00:47:33,00:47:34,51,77,10.65,92.91059,9.55,8.675351,91.0,12.783802,21.96
Running,2024-05-26 10:04:57,False,Barnet - W04D7-Long Run,13.19,"1,080",02:15:06,141,156,3.1,151,171,10:15,7:38,120,123,0.66,6.2,4.2,372,50.1% L / 49.9% R,10:11,--,192,0.0,187,318,"20,238",-10,23.0,No,00:00:02.4,16,30.0,31,16,40,02:15:01,02:15:06,49,125,15.55,78.88614,11.9,13.979273,100.0,14.81259,36.0
Running,2024-05-25 08:47:51,False,Barnet - W04D6-Intervals,5.66,499,00:46:07,159,174,3.3,162,172,8:09,6:27,40,41,0.76,7.5,5.9,308,50.0% L / 50.0% R,8:08,--,278,0.0,264,443,"7,392",-8,20.0,No,00:00:02.3,13,27.0,35,21,50,00:46:03,00:46:07,52,76,14.45,80.04298,11.05,14.0458145,12.0,5.00128,15.119999
Running,2024-05-23 05:48:31,False,Barnet - W04D4-Fartlek Run,4.38,359,00:45:11,131,146,2.1,152,161,10:19,7:32,49,48,0.65,6.4,4.2,378,50.2% L / 49.8% R,10:13,--,196,0.0,191,341,"6,830",-8,19.0,No,00:00:02.8,7,27.0,27,16,39,00:45:09,00:45:11,54,88,11.05,92.6216,9.9,8.59063,7.0,16.78156,29.88
Running,2024-05-22 06:01:20,False,Barnet - W04D3a-Recovery Run,3.3,275,00:30:06,138,145,2.4,159,165,9:08,7:23,24,25,0.70,7.1,5.1,350,50.2% L / 49.8% R,9:04,--,231,0.0,229,331,"4,742",-6,17.0,No,00:00:02.3,6,25.0,28,17,41,00:30:04,00:30:06,52,63,12.45,97.08506,12.0,11.750074,100.0,9.0645685,16.56
Running,2024-05-21 05:36:37,False,Barnet - W04D2-Intervals,5.43,476,00:45:05,156,170,3.4,162,171,8:18,6:02,33,35,0.75,7.5,5.8,322,50.2% L / 49.8% R,8:17,--,270,0.0,256,394,"7,218",-7,18.0,No,00:00:01.7,13,26.0,34,19,44,00:44:59,00:45:05,52,77,10.65,91.979034,9.4,8.7372465,100.0,12.074766,23.039999
Running,2024-05-19 18:14:50,False,Barnet - W03D7-Long Run,10.03,837,01:46:02,145,160,2.9,149,173,10:34,7:14,109,109,0.65,6.1,4.0,380,49.9% L / 50.1% R,10:29,--,183,0.0,177,293,"15,660",-13,23.0,No,00:00:06.6,12,29.0,32,23,42,01:45:13,01:46:02,50,112,18.15,60.360096,10.35,15.935802,3.0,15.978484,35.28
Running,2024-05-17 05:47:19,False,Menlo Park - W03D6-Intervals,4.6,398,00:36:45,153,169,3.4,164,176,8:00,6:11,7,9,0.77,7.9,6.2,311,49.6% L / 50.4% R,7:59,--,283,0.0,272,374,"5,982",-7,18.0,No,00:00:02.0,10,25.0,37,18,56,00:36:40,00:36:45,16,24,9.85,99.33217,9.75,8.965463,73.0,5.692099,11.879999
Running,2024-05-16 05:49:13,False,Menlo Park - W03D4-Recovery Run,4.84,394,00:45:54,139,144,2.4,158,164,9:29,7:02,9,10,0.68,7.6,5.2,344,49.2% L / 50.8% R,9:30,--,217,0.0,215,404,"7,206",-5,17.0,No,00:00:02.0,7,25.0,25,16,35,00:45:52,00:45:54,16,24,10.2,98.67195,10.0,9.06379,100.0,7.9036193,13.32
